unique_player_id,cricinfo_id,final_player_name,source_country_text,has_test_batting,has_test_bowling,has_test_fielding,has_odi_batting,has_odi_bowling,has_odi_fielding,has_t20i_batting,has_t20i_bowling,has_t20i_fielding
1333976,1333976,S Tabuisulu,Fiji,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
637800,637800,S Tarawally,SLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
1286457,1286457,S Thakor,TAN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
1267510,1267510,S Thakur,ROM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
1036597,1036597,S Thanikaithasan,DEN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
1483032,1483032,S Tharanga,CYP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
23856,23856,S Thuraisingam,CAN,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
387032,387032,S Tobgay,BHU,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
1267511,1267511,S Tosic,SRB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
1115043,1115043,S Toutai,Samoa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
647729,647729,S Tuitoga,Fiji,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
